,value,unit,serialNumber
2020-10-14 07:27:10+00:00,26,%,00158D000192D255
2020-10-14 07:37:40+00:00,21,%,00158D000192D255
2020-10-14 07:42:10+00:00,21,%,00158D000192D255
2020-10-14 07:42:42+00:00,82,%,00158D000192D255
2020-10-14 07:43:44+00:00,76,%,00158D000192D255
2020-10-14 07:53:50+00:00,72,%,00158D000192D255
2020-10-14 07:57:10+00:00,72,%,00158D000192D255
2020-10-14 07:59:51+00:00,67,%,00158D000192D255
2020-10-14 08:05:52+00:00,64,%,00158D000192D255
2020-10-14 08:12:10+00:00,64,%,00158D000192D255
2020-10-14 08:14:00+00:00,59,%,00158D000192D255
2020-10-14 08:23:14+00:00,59,%,00158D000192D255
2020-10-14 08:23:58+00:00,59,%,00158D000192D255
2020-10-14 08:24:45+00:00,59,%,00158D000192D255
2020-10-14 08:25:28+00:00,59,%,00158D000192D255
2020-10-14 08:36:16+00:00,59,%,00158D000192D255
2020-10-14 08:39:00+00:00,59,%,00158D000192D255
2020-10-14 08:49:21+00:00,59,%,00158D000192D255
2020-10-14 08:55:39+00:00,59,%,00158D000192D255
2020-10-14 09:10:39+00:00,59,%,00158D000192D255
2020-10-14 09:13:35+00:00,59,%,00158D000192D255
2020-10-14 09:24:33+00:00,65,%,00158D000192D255
2020-10-14 09:28:36+00:00,65,%,00158D000192D255
2020-10-14 09:34:01+00:00,65,%,00158D000192D255
2020-10-14 09:34:36+00:00,71,%,00158D000192D255
2020-10-14 09:40:20+00:00,71,%,00158D000192D255
2020-10-14 09:55:20+00:00,71,%,00158D000192D255
2020-10-14 10:04:50+00:00,75,%,00158D000192D255
2020-10-14 10:06:49+00:00,70,%,00158D000192D255
2020-10-14 10:10:20+00:00,70,%,00158D000192D255
2020-10-14 10:12:53+00:00,76,%,00158D000192D255
2020-10-14 10:22:29+00:00,76,%,00158D000192D255
2020-10-14 10:23:44+00:00,76,%,00158D000192D255
2020-10-14 10:38:44+00:00,76,%,00158D000192D255
2020-10-14 10:41:07+00:00,80,%,00158D000192D255
2020-10-14 10:53:44+00:00,80,%,00158D000192D255
2020-10-14 11:08:44+00:00,80,%,00158D000192D255
2020-10-14 11:13:24+00:00,80,%,00158D000192D255
2020-10-14 11:14:36+00:00,80,%,00158D000192D255
2020-10-14 11:17:24+00:00,80,%,00158D000192D255
2020-10-14 11:18:36+00:00,80,%,00158D000192D255
2020-10-14 11:23:23+00:00,80,%,00158D000192D255
2020-10-14 11:30:39+00:00,80,%,00158D000192D255
2020-10-14 11:35:27+00:00,80,%,00158D000192D255
2020-10-14 11:36:10+00:00,80,%,00158D000192D255
2020-10-14 11:41:26+00:00,80,%,00158D000192D255
2020-10-14 11:56:26+00:00,80,%,00158D000192D255
2020-10-14 12:11:26+00:00,80,%,00158D000192D255
2020-10-14 12:14:58+00:00,80,%,00158D000192D255
2020-10-14 12:18:13+00:00,80,%,00158D000192D255
2020-10-14 12:20:26+00:00,80,%,00158D000192D255
2020-10-14 12:21:40+00:00,80,%,00158D000192D255
2020-10-14 12:22:54+00:00,80,%,00158D000192D255
2020-10-14 12:23:36+00:00,80,%,00158D000192D255
2020-10-14 12:24:19+00:00,80,%,00158D000192D255
2020-10-14 12:26:02+00:00,80,%,00158D000192D255
2020-10-14 12:26:44+00:00,80,%,00158D000192D255
2020-10-14 12:27:58+00:00,80,%,00158D000192D255
2020-10-14 12:29:17+00:00,80,%,00158D000192D255
2020-10-14 12:40:06+00:00,84,%,00158D000192D255
2020-10-14 12:44:08+00:00,89,%,00158D000192D255
2020-10-14 12:44:17+00:00,89,%,00158D000192D255
2020-10-14 12:45:11+00:00,89,%,00158D000192D255
2020-10-14 12:46:24+00:00,89,%,00158D000192D255
2020-10-14 12:49:48+00:00,89,%,00158D000192D255
2020-10-14 12:54:31+00:00,89,%,00158D000192D255
2020-10-14 13:06:20+00:00,93,%,00158D000192D255
2020-10-14 13:09:31+00:00,93,%,00158D000192D255
2020-10-14 13:12:21+00:00,89,%,00158D000192D255
2020-10-14 13:22:27+00:00,94,%,00158D000192D255
2020-10-14 13:24:31+00:00,94,%,00158D000192D255
2020-10-14 13:39:31+00:00,94,%,00158D000192D255
2020-10-14 13:44:39+00:00,99,%,00158D000192D255
2020-10-14 13:46:39+00:00,95,%,00158D000192D255
2020-10-14 13:54:31+00:00,95,%,00158D000192D255
2020-10-14 13:56:45+00:00,100,%,00158D000192D255
2020-10-14 14:09:31+00:00,100,%,00158D000192D255
2020-10-14 14:24:31+00:00,100,%,00158D000192D255
2020-10-14 14:39:31+00:00,100,%,00158D000192D255
2020-10-14 14:54:33+00:00,100,%,00158D000192D255
2020-10-14 15:09:33+00:00,100,%,00158D000192D255
